,tractid,state,county,tract,pop10,nhwht10,nhblk10,ntv10,asian10,hisp10,haw10,india10,china10,filip10,japan10,korea10,viet10,mex10,pr10,cuban10,family10,fhh10,hu10,vac10,ohu10,own10,rent10,a18und10,a60up10,a75up10,agewht10,a15wht10,a60wht10,ageblk10,a15blk10,a60blk10,agehsp10,a15hsp10,a60hsp10,ageasn10,a15asn10,a60asn10,agentv10,a15ntv10,a60ntv10,GlobD10,GlobG10,percent_white10,percent_black10,percent_asian10,percent_hispanic10,percent_indian10,percent_chinese10,percent_filip10,percent_japan10,percent_korean10,percent_viet10,percent_mex10,percent_pr10,percent_cuban10,percent_vacant_housing10,percent_occupied_housing10,percent_under18_10,percent_60andup_10,percent_75andup_10,percent_owneroccupied_10,percent_renteroccupied_10,non-white10,statea,countya,tracta,pnhwht12,pnhblk12,phisp12,pntv12,pasian12,phaw12,pindia12,pchina12,pfilip12,pjapan12,pkorea12,pviet12,p15wht12,p65wht12,p15blk12,p65blk12,p15hsp12,p65hsp12,p15ntv12,p65ntv12,p15asn12,p65asn12,pmex12,pcuban12,ppr12,pruanc12,pitanc12,pgeanc12,piranc12,pscanc12,pfb12,pnat12,p10imm12,prufb12,pitfb12,pgefb12,pirfb12,pscfb12,polang12,plep12,phs12,pcol12,punemp12,pflabf12,pprof12,pmanuf12,psemp12,pvet12,p65pov12,ppov12,pwpov12,pnapov12,pfmpov12,pbpov12,phpov12,papov12,pvac12,pown12,pmulti12,p30old12,p18und12,p60up12,p75up12,pmar12,pwds12,pfhh12,p10yrs12,ageblk12,agentv12,agewht12,agehsp12,india12,filip12,japan12,korea12,viet12,pop12,nhwht12,nhblk12,ntv12,hisp12,asian12,haw12,china12,a15wht12,a65wht12,a15blk12,a65blk12,a15hsp12,a65hsp12,a15ntv12,a65ntv12,ageasn12,a15asn12,a65asn12,mex12,pr12,cuban12,geanc12,iranc12,itanc12,ruanc12,fb12,nat12,itfb12,rufb12,ag5up12,irfb12,gefb12,scanc12,n10imm12,olang12,lep12,scfb12,ag25up12,dfmpov12,hh12,hinc12,hincb12,hincw12,hinch12,incpc12,ag18cv12,vet12,empclf12,dpov12,npov12,dbpov12,nbpov12,dnapov12,nnapov12,dwpov12,nwpov12,dhpov12,nhpov12,hhb12,hhw12,hhh12,hs12,col12,clf12,unemp12,dflabf12,flabf12,prof12,manuf12,semp12,hha12,hinca12,n65pov12,nfmpov12,napov12,dapov12,family12,hu12,vac12,ohu12,own12,rent12,dmulti12,mrent12,mhmval12,multi12,h30old12,h10yrs12,a18und12,a60up12,a75up12,ag15up12,12-Mar,wds12,fhh12,percent_employed12,year
0,25025000100,MA,Suffolk County,Census Tract 1,4254,2508,288,16,524,621,0,38,284,16,18,38,49,44,91,11,698,100,1707,91,1616,408,1208,579,481,182,2508,179,369,249,57,16,621,144,24,468,55,60,3,0,0,wbha,Global,58.95627644569817,6.770098730606486,12.317818523742359,14.59802538787024,0.8932769158439117,6.676069581570287,0.3761165961448049,0.4231311706629055,0.8932769158439117,1.151857075693465,1.0343206393982134,2.1391631405735776,0.2585801598495533,5.330990041007616,94.6690099589924,13.610719322990127,11.307005171603198,4.278326281147154,23.90158172231986,70.76742823667253,47.90785143394452,25,25,100,67.26000214,3.799999952,17.57999992,0.0,9.789999962000001,0.0,1.6900000569999998,6.349999905,0.0,0.639999986,0.330000013,0.0,5.320000172,16.03000069,25.77000046,0.0,20.65999985,0.0,-999.0,-999.0,9.350000381000001,0.0,0.25,0.670000017,5.239999771,1.6900000569999998,10.64999962,3.049999952,13.06000042,2.99000001,29.03000069,15.30000019,9.479999542,0.800000012,0.5,0.0,0.419999987,0.389999986,38.45000076,15.53999996,54.93999863,30.78000069,6.059999942999999,62.25999832,22.5,7.829999924,7.130000114,5.510000229,1.370000005,14.65999985,18.54999924,-999.0,3.410000086,6.380000114,2.069999933,14.72999954,10.17000008,24.56999969,78.63999939,94.52999878,10.81000042,16.21999931,5.7699999810000016,27.69000053,17.10000038,10.23999977,76.88999939,163,0,2426,634,61,0,23,12,0,3607,2426,137,0,634,353,0,229,129,389,42,0,131,0,0,0,353,33,0,9,189,24,110,471,384,61,1047,552,18,29,3358,15,0,108,342,1291,522,14,2563,674,1510,53571,31759,54777,46106,27564,3192,176,2133,3574,524,141,9,0,0,2415,448,629,13,38,1184,143,1408,789,2260,137,1587,988,480,167,152,136,62115.0,49,23,52,353,674,1681,171,1510,371,1139,1681,1348,348200,1322,1589,1161,390,585,208,3258,902,557,69,94.38053097345131,2010-01-01
1,25025000201,MA,Suffolk County,Census Tract 2.01,3854,2728,275,13,352,407,0,42,198,22,15,22,14,18,52,23,571,71,1618,77,1541,447,1094,439,383,137,2728,151,293,244,64,13,407,121,32,324,44,41,5,1,1,wbha,Global,70.7836014530358,7.135443694862482,9.133367929423978,10.560456668396473,1.0897768552153606,5.137519460300986,0.5708354955889985,0.3892060197197717,0.5708354955889985,0.3632589517384536,0.467047223663726,1.3492475350285418,0.5967825635703166,4.7589616810877615,95.24103831891225,11.390762843798651,9.937727036844837,3.554748313440581,27.626699629171814,67.61433868974042,37.70108977685522,25,25,201,67.95999908,3.849999905,16.87999916,0.0,9.239999771,0.0,0.75999999,6.559999942999999,1.019999981,0.889999986,0.0,0.0,4.639999866,7.96999979,0.0,16.53000069,13.21000004,14.72000027,-999.0,-999.0,0.0,10.68999958,1.019999981,3.599999905,5.989999771,0.319999993,10.40999985,0.639999986,24.64999962,1.110000014,25.12999916,14.55000019,7.070000172,0.0,1.179999948,0.860000014,2.099999905,0.0,29.03000069,6.059999942999999,32.29000092,53.31999969,1.889999986,79.23000336,45.75,5.9800000189999984,8.020000458,3.539999962,0.639999986,10.13000011,6.420000076,-999.0,5.090000153,49.59000015,10.38000011,6.5500001910000005,13.34000015,29.37999916,83.27999878,95.98000336,6.369999886,14.77999973,5.349999905,27.05999947,9.050000191,10.18000031,70.40000153,121,0,2134,530,24,32,28,0,0,3140,2134,121,0,530,290,0,206,99,170,0,20,70,78,0,0,290,0,31,32,188,113,20,774,327,10,789,457,37,0,3038,66,27,35,222,882,184,0,2273,570,1358,65506,9500,76218,65000,38128,2940,104,2343,3140,318,121,60,0,0,2134,137,530,55,52,996,184,734,1212,2381,45,1671,1324,1072,140,188,73,58393.0,20,29,19,290,570,1567,209,1358,399,959,1567,1405,532000,1305,1504,956,200,464,168,2971,804,269,58,98.40403191936159,2010-01-01
2,25025000202,MA,Suffolk County,Census Tract 2.02,3885,2370,289,16,549,596,0,42,346,13,4,18,69,23,122,19,711,149,1522,42,1480,474,1006,656,478,179,2370,200,339,273,74,25,596,197,28,525,82,79,12,4,1,wbha,Global,61.003861003861005,7.4388674388674385,14.13127413127413,15.341055341055341,1.0810810810810811,8.906048906048905,0.33462033462033464,0.10296010296010297,0.4633204633204634,1.776061776061776,0.592020592020592,3.1402831402831404,0.489060489060489,2.759526938239159,97.24047306176085,16.885456885456883,12.303732303732305,4.607464607464609,31.143232588699078,66.09724047306176,54.208494208494216,25,25,202,53.65999985,8.539999962000001,17.19000053,0.0,17.28000069,0.0,0.0,9.420000076,0.349999994,0.0,0.0,1.909999967,6.869999886,10.72999954,22.37000084,0.0,17.13999939,0.7900000209999999,-999.0,-999.0,7.739999771,27.32999992,1.25999999,0.0,0.74000001,2.369999886,4.260000229,1.360000014,24.18000031,0.930000007,36.24000168,17.65999985,12.22999954,0.49000001,0.660000026,0.519999981,1.419999957,0.0,41.50999832,12.42000008,32.81999969,43.11999893,9.600000381000001,55.04000092,45.95000076,1.620000005,8.850000381000001,2.960000038,0.349999994,18.20000076,13.22000027,-999.0,9.329999924,28.03000069,35.86999893,12.31999969,9.550000191,32.91999817,78.56999969,96.26000214,13.43000031,16.18000031,7.340000152999999,33.09000015,13.30000019,17.87000084,62.79999924,371,0,1966,630,0,13,0,0,70,3664,1966,313,0,630,633,0,345,135,211,83,0,108,5,0,0,633,49,173,46,27,0,50,886,156,87,1328,647,24,18,3438,52,19,34,448,1427,427,0,2544,761,1355,54607,30000,65184,32891,29292,3172,94,1854,3664,667,371,104,0,0,1966,260,630,226,72,867,185,835,1097,2031,195,1628,896,852,30,164,192,24803.0,13,71,78,633,761,1498,143,1355,446,909,1498,1299,432800,1177,1442,851,492,593,269,3309,1095,440,136,91.2850812407681,2010-01-01
3,25025000301,MA,Suffolk County,Census Tract 3.01,2740,2050,161,4,307,190,0,37,212,9,6,24,7,13,26,7,463,37,1219,60,1159,476,683,273,418,169,2050,134,335,124,15,24,190,31,23,295,41,30,0,0,0,wba,Semi global,74.81751824817519,5.875912408759124,11.204379562043798,6.934306569343065,1.3503649635036497,7.737226277372263,0.3284671532846715,0.21897810218978106,0.8759124087591241,0.2554744525547445,0.4744525547445255,0.9489051094890509,0.2554744525547445,4.9220672682526665,95.07793273174734,9.963503649635037,15.255474452554743,6.1678832116788325,39.048400328137824,56.02953240360952,36.605839416058394,25,25,301,82.22000122,1.7999999519999998,5.28000021,0.0,10.71000004,0.0,5.5,5.199999809,0.0,0.0,0.0,0.0,9.56000042,12.52000046,0.0,29.17000008,9.220000267,17.72999954,-999.0,-999.0,13.98999977,15.02999973,0.0,0.560000002,2.400000095,1.350000024,11.72000027,3.970000029,29.69000053,2.400000095,15.19999981,6.099999905,6.099999905,0.300000012,0.8199999929999999,1.419999957,1.24000001,0.0,19.82999992,1.659999967,26.52000046,61.36999893,4.360000134,77.09999847,63.81999969,5.920000076,7.739999771,5.599999905,0.660000026,8.989999771,8.539999962000001,-999.0,12.02999973,26.46999931,33.33000183,0.0,13.68000031,43.70999908,76.58999634,93.97000122,10.47999954,16.77000046,8.420000076,34.97000122,11.38000011,10.47000027,68.41000366,48,0,2196,141,147,0,0,0,0,2671,2196,48,0,141,286,0,139,210,275,0,14,13,25,0,0,286,40,43,0,64,15,106,793,313,36,406,163,22,8,2592,33,38,64,163,514,43,0,2115,449,1073,89688,100781,84925,103015,41955,2391,134,1874,2570,231,34,9,0,0,2130,182,120,40,33,881,43,561,1298,1925,84,1288,993,1196,111,145,116,90556.0,17,54,0,286,449,1243,170,1073,469,604,1243,1469,409700,952,1168,734,280,448,225,2408,842,274,47,97.35064935064936,2010-01-01
4,25025000302,MA,Suffolk County,Census Tract 3.02,3142,2295,103,4,480,229,0,51,322,14,20,38,9,30,19,7,545,29,1346,70,1276,631,645,310,490,164,2295,142,410,89,14,6,229,25,8,449,47,63,2,1,0,wa,Single immig,73.0426479949077,3.2781667727562063,15.276893698281349,7.288351368555062,1.6231699554423933,10.248249522597073,0.4455760661998727,0.6365372374283895,1.2094207511139399,0.2864417568427753,0.9548058561425844,0.6047103755569699,0.22278803309993636,5.200594353640416,94.7994056463596,9.866327180140038,15.595162316995545,5.219605346912794,46.879643387815754,47.91976225854384,42.20241884150223,25,25,302,77.51999664,2.309999943,3.279999971,0.0,14.72000027,0.0,0.330000013,11.43999958,0.0,1.169999957,0.5,0.0,9.239999771,13.72000027,0.0,0.0,23.46999931,0.0,-999.0,-999.0,13.64000034,3.640000105,0.699999988,0.0,0.0,6.690000057000001,6.659999847000001,4.420000076,18.73999977,1.370000005,34.49000168,13.92000008,17.89999962,2.809999943,1.940000057,0.230000004,0.0,0.0,42.18000031,8.729999542,31.45999908,56.75999832,3.019999981,68.37000275,56.02000046,5.46999979,2.680000067,4.409999847,3.019999981,16.73999977,14.97999954,-999.0,2.599999905,17.38999939,100.0,19.62999916,6.170000076,53.56999969,75.01999664,94.81999969,11.21000004,15.18999958,4.920000076,33.61999893,12.96000004,1.7999999519999998,69.40000153,69,0,2317,98,10,0,35,15,0,2989,2317,69,0,98,440,0,342,214,318,0,0,23,0,0,0,440,60,16,21,0,0,132,560,199,200,1031,416,58,84,2807,0,7,41,535,1184,245,0,2114,500,1232,69438,112500,70074,-999,35219,2654,117,1903,2916,488,69,12,0,0,2303,345,46,46,68,960,13,665,1200,1954,59,1366,934,1066,104,51,180,48182.0,88,13,85,433,500,1313,81,1232,660,572,1313,1436,322200,985,1245,855,335,454,147,2692,905,349,9,97.38996929375641,2010-01-01
5,25025000401,MA,Suffolk County,Census Tract 4.01,5672,4089,155,11,1091,287,1,107,743,20,36,80,36,36,35,11,834,32,2965,88,2877,496,2381,404,1339,790,4089,234,900,132,5,24,287,37,16,1033,71,390,2,0,0,wa,Single immig,72.09097320169252,2.7327221438645983,19.234837799717916,5.059943582510578,1.8864598025387869,13.099435825105786,0.3526093088857546,0.6346967559943583,1.4104372355430184,0.6346967559943583,0.6346967559943583,0.6170662905500706,0.19393511988716505,2.9679595278246205,97.03204047217537,7.122708039492243,23.60719322990127,13.928067700987306,16.728499156829677,80.30354131534571,46.703102961918205,25,25,401,67.33000183,5.260000229,8.460000037999999,0.0,18.37000084,0.0,1.00999999,14.03999996,0.0,0.25,1.860000014,1.200000048,9.489999771,24.51000023,18.07999992,4.8000001910000005,16.73999977,6.190000057000001,-999.0,-999.0,6.5500001910000005,31.18000031,1.649999976,0.0,3.710000038,9.050000191,8.210000037999999,3.029999971,10.5,1.149999976,37.45000076,22.88999939,17.07999992,7.550000191,0.0,0.230000004,0.560000002,0.0,43.88000107,17.94000053,27.03000069,59.49000168,4.0,54.31999969,63.0,4.25,6.559999942999999,1.870000005,7.360000134,22.82999992,14.35999966,-999.0,4.71999979,59.04000092,46.33000183,33.40000153,6.949999809,12.81999969,93.22000122,91.52999878,10.82999992,25.70000076,14.17000008,26.27000046,17.65999985,14.90999985,85.83999634,271,0,3468,436,52,0,13,96,62,5151,3468,271,0,436,946,0,723,329,850,49,13,73,27,0,0,946,62,295,85,191,0,156,541,423,466,1929,1179,0,389,4799,29,12,59,880,2106,861,0,3530,805,2691,35050,9738,44186,25500,26723,4593,86,2638,5151,1176,271,160,0,0,3468,498,436,202,137,1846,250,954,2100,2748,110,2916,1584,1662,112,173,447,14468.0,379,38,316,946,805,2892,201,2691,345,2346,2892,1237,404500,2696,2647,2310,558,1324,730,4632,1217,818,120,95.9970887918486,2010-01-01
6,25025000402,MA,Suffolk County,Census Tract 4.02,3648,2734,82,4,600,189,0,47,374,20,10,50,28,27,26,10,473,22,1543,82,1461,480,981,366,371,114,2734,255,251,69,0,8,189,21,8,545,55,98,0,0,0,wa,Single immig,74.9451754385965,2.24780701754386,16.44736842105263,5.180921052631579,1.288377192982456,10.25219298245614,0.5482456140350878,0.2741228070175439,1.3706140350877194,0.7675438596491229,0.7401315789473685,0.7127192982456141,0.2741228070175439,5.314322747893714,94.68567725210629,10.032894736842103,10.169956140350877,3.125,31.108230719377843,63.57744653272845,40.213815789473685,25,25,402,75.37000275,1.7899999619999998,4.690000057,0.0,17.43000031,0.0,1.639999986,13.94999981,0.0,0.129999995,1.080000043,0.629999995,10.03999996,8.539999962000001,0.0,45.59000015,15.17000008,0.0,-999.0,-999.0,19.36000061,13.92000008,3.24000001,0.949999988,0.289999992,9.069999695,6.21999979,6.570000172,19.28000069,1.769999981,18.28000069,8.569999695,6.539999962,1.5599999430000002,0.8999999759999999,0.0,0.25999999,0.209999993,21.29999924,8.239999771,24.43000031,60.33000183,6.820000172,59.86999893,66.73000336,4.309999943,6.239999771,2.680000067,0.579999983,20.98999977,22.04000092,-999.0,1.809999943,71.15000153,35.88000107,8.149999618999999,5.170000076,33.25999832,81.73999786,94.16000366,14.23999977,13.23999977,3.900000095,26.65999985,10.40999985,21.29999924,80.11000061,68,0,2858,178,62,0,5,41,24,3792,2858,68,0,178,661,0,529,287,244,0,31,27,0,0,0,661,128,92,123,11,36,249,731,236,344,693,325,34,59,3530,10,0,67,248,752,291,8,2092,554,1413,57064,137759,58636,68060,29131,3252,87,2020,3593,754,52,37,0,0,2718,599,170,61,52,1092,45,511,1262,2156,147,1692,1013,1348,87,126,224,38889.0,21,10,51,626,554,1490,77,1413,470,943,1490,1494,442800,1218,1403,1132,540,502,148,3323,886,346,118,93.69202226345085,2010-01-01
7,25025000502,MA,Suffolk County,Census Tract 5.02,6303,4719,309,27,779,446,0,104,284,47,49,213,23,104,69,69,391,7,2041,169,1872,359,1513,85,400,170,4719,52,362,268,1,8,446,4,14,706,15,13,6,0,0,wba,Semi global,74.86910994764399,4.902427415516421,12.359194034586706,7.07599555767095,1.6500079327304458,4.5057908932254485,0.7456766619070284,0.7774075836903062,3.3793431699190863,0.3649056005076948,1.6500079327304458,1.094716801523084,1.094716801523084,8.280254777070066,91.71974522292992,1.3485641757893068,6.346184356655562,2.697128351578613,17.589416952474274,74.13032827045565,40.02855782960496,25,25,502,72.62999725,2.099999905,9.779999733,0.0,13.88000011,0.140000001,2.809999943,7.28000021,0.0,0.0,3.359999895,0.140000001,1.190000057,8.220000267,0.0,0.0,0.0,0.0,-999.0,-999.0,7.5199999810000016,0.0,1.0,0.810000002,2.039999962,4.789999962,12.76000023,4.730000018999999,21.04999924,0.629999995,13.85999966,5.5199999810000016,10.25,2.430000067,0.0,0.0,0.0,0.0,20.76000023,3.390000105,18.32999992,71.88999939,6.489999771,55.90000153,58.72000122,2.369999886,6.829999924,0.600000024,5.260000229,33.25,31.20999908,-999.0,0.0,7.409999847000001,46.25,35.70000076,13.27999973,17.18000031,98.77999878,91.43000031,1.919999957,7.420000076,3.0,12.67000008,5.190000057,0.0,93.56999969,134,0,3699,498,143,0,0,171,7,5093,3699,107,0,498,707,7,371,44,304,0,0,0,0,0,0,718,54,0,51,104,41,241,1072,650,244,706,281,0,124,5049,0,0,32,522,1048,171,0,1800,334,1711,43064,-999,42591,58281,21055,4995,30,2444,2662,885,27,2,0,0,1948,608,240,111,25,1331,155,330,1294,2606,169,2934,1640,1435,58,167,225,9276.0,140,0,166,465,334,1973,262,1711,294,1417,1973,1420,322800,1949,1804,1601,98,378,153,4995,633,259,0,93.78357636224098,2010-01-01
8,25025000503,MA,Suffolk County,Census Tract 5.03,2211,1739,64,8,293,96,0,53,122,17,21,48,3,18,18,1,246,10,1408,67,1341,348,993,54,188,84,1739,29,156,55,0,10,96,4,1,264,15,17,2,0,0,wa,Single immig,78.6521935775667,2.8946178199909545,13.25192220714609,4.341926729986431,2.397105382180009,5.517865219357756,0.7688828584350973,0.949796472184532,2.170963364993216,0.13568521031207598,0.8141112618724559,0.8141112618724559,0.04522840343735866,4.758522727272728,95.24147727272728,2.442333785617368,8.502939846223429,3.799185888738128,24.71590909090909,70.52556818181819,34.4640434192673,25,25,503,78.31999969,1.399999976,6.239999771,0.0,10.27000046,0.0,0.0,6.510000229,0.860000014,0.0,2.470000029,0.0,1.0299999709999998,10.10000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399999976,0.0,0.75,12.36999989,8.119999886,5.920000076,8.770000458,1.669999957,18.82999992,11.14000034,6.940000057000001,4.199999809,0.75,0.0,0.0,0.0,21.69000053,0.0,6.2699999810000016,86.16000366,5.889999866,80.30999756,66.91999817,0.970000029,9.880000114,2.109999895,1.99000001,21.79000092,13.31999969,100.0,0.0,0.0,44.83000183,46.59999847,10.51000023,25.61000061,97.95999908,92.66000366,0.810000002,11.89000034,4.199999809,22.45000076,5.369999886,0.0,89.59999847,26,14,1456,116,0,16,0,46,0,1859,1456,26,0,116,191,0,121,15,147,0,0,0,0,0,0,191,0,0,26,14,0,110,163,151,230,350,207,14,78,1844,0,0,31,129,400,0,0,1228,254,1183,56349,34667,57467,8241,37921,1844,39,1448,1859,405,26,0,14,14,1456,194,116,52,26,933,66,77,1058,1510,89,1163,934,969,14,143,104,72679.0,37,0,89,191,254,1322,139,1183,303,880,1322,1476,241700,1295,1225,1060,15,221,78,1844,414,99,0,95.89403973509934,2010-01-01
9,25025000504,MA,Suffolk County,Census Tract 5.04,4985,3862,200,12,577,318,0,91,330,38,21,54,14,46,67,22,534,17,2726,89,2637,518,2119,160,914,542,3862,75,752,168,5,32,318,21,40,540,35,82,4,0,0,wa,Single immig,77.47241725175526,4.012036108324976,11.574724172517552,6.37913741223671,1.825476429287864,6.619859578736207,0.7622868605817452,0.4212637913741224,1.0832497492477433,0.28084252758274825,0.9227683049147444,1.3440320962888666,0.4413239719157472,3.2648569332355097,96.73514306676451,3.20962888665998,18.335005015045134,10.872617853560682,19.002201027146,77.73294203961851,35.907723169508536,25,25,504,73.73999786,4.570000172,5.349999905,0.800000012,12.22999954,0.0,2.589999914,7.75,0.949999988,0.0,0.0,0.0,0.670000017,18.78000069,0.0,5.659999847000001,0.0,4.440000057,0.0,0.0,0.0,30.34000015,1.039999962,0.280000001,1.4700000290000002,8.819999695,8.479999542,3.730000019,13.51000023,1.320000052,28.5,12.18999958,14.02000046,3.99000001,0.300000012,0.25999999,0.0,0.0,29.82999992,10.07999992,18.34000015,68.0,4.25,56.95000076,62.86999893,1.970000029,4.829999924,2.390000105,4.599999905,27.92000008,29.88999939,32.72999954,0.0,5.699999809,32.25999832,21.52000046,9.600000381000001,14.89999962,98.97000122,79.93000031,0.75999999,21.46999931,13.15999985,16.85000038,9.609999657000001,0.0,83.66999817,212,55,3418,248,120,44,0,0,0,4635,3418,212,37,248,567,0,359,23,642,0,12,0,11,0,0,567,0,172,48,68,13,173,626,393,409,1321,565,14,185,4623,0,12,61,650,1379,466,0,3097,508,2712,36339,52993,37232,46081,30471,4600,110,2836,4610,1287,193,11,55,18,3412,1020,248,80,61,2138,150,568,2106,2939,125,2611,1487,1783,56,137,283,31625.0,212,0,122,567,508,3000,288,2712,404,2308,3000,1371,316400,2969,2398,2269,35,995,610,4600,775,442,0,96.49540660088465,2010-01-01
10,25025000601,MA,Suffolk County,Census Tract 6.01,3571,2480,102,12,580,288,0,80,283,9,13,52,30,36,31,9,521,23,1525,75,1450,462,988,295,549,232,2480,138,440,82,5,8,288,35,17,540,57,78,2,0,0,wha,Dual immig,69.448333800056,2.856342761131337,16.241949033884065,8.064967796135535,2.240268832259871,7.9249509941192935,0.2520302436292355,0.3640436852422291,1.4561747409689163,0.8401008120974517,1.0081209745169422,0.8681041725006999,0.2520302436292355,4.918032786885246,95.08196721311475,8.260991318958277,15.373844861383365,6.4967796135536275,30.29508196721311,64.78688524590164,42.705124614953796,25,25,601,67.94000244,0.860000014,8.319999695,0.0,19.64999962,0.0,0.0,14.93999958,0.74000001,0.540000021,0.379999995,2.109999895,4.099999905,12.81000042,0.0,14.28999996,6.150000095,1.149999976,-999.0,-999.0,15.71000004,8.569999695,0.319999993,0.0,2.369999886,1.75999999,12.0,3.970000029,17.28000069,1.75999999,22.13999939,13.69999981,6.940000057000001,0.100000001,1.5,0.74000001,2.430000067,0.0,27.73999977,6.699999809,23.12999916,58.02000046,4.349999905,60.97000122,58.29000092,4.190000057,7.590000152999999,2.140000105,0.330000013,21.55999947,20.22999954,-999.0,5.070000172,59.38000107,37.40000153,20.15999985,15.44999981,30.81999969,87.59999847,86.87000275,8.829999924,13.65999985,7.96999979,26.37999916,8.729999542,8.670000076,78.12000275,35,0,2123,260,0,23,17,12,66,3125,2123,27,0,260,614,0,467,87,272,0,5,16,3,0,0,630,99,54,10,74,0,124,540,375,55,692,428,47,3,3017,76,23,55,217,837,202,0,1989,473,1275,56477,-999,65913,62933,32931,2849,61,1911,3015,650,32,19,0,0,2022,409,254,95,19,945,99,460,1154,1998,87,1540,939,1114,80,145,181,53403.0,10,24,127,630,473,1508,233,1275,393,882,1508,1431,366100,1321,1310,996,276,427,249,2908,767,254,41,95.64564564564564,2010-01-01
11,25025000602,MA,Suffolk County,Census Tract 6.02,3974,2137,463,7,687,641,1,93,358,24,33,47,50,56,211,17,667,142,2035,67,1968,187,1781,476,618,224,2137,60,410,424,106,52,641,183,50,637,54,98,3,0,1,wbha,Global,53.774534474081534,11.650729743331654,17.28736789129341,16.129843985908405,2.3402113739305483,9.008555611474584,0.6039255158530448,0.8303975842979366,1.182687468545546,1.2581781580271767,1.4091595369904382,5.309511826874687,0.4277805737292401,3.2923832923832923,96.70761670761671,11.977856064418724,15.551082033215904,5.636638147961753,9.18918918918919,87.51842751842753,67.63965777554102,25,25,602,58.72000122,8.93999958,14.97999954,0.469999999,13.55000019,0.0,0.0,7.2300000189999984,0.0,1.5499999519999998,0.389999986,1.889999986,4.150000095,15.27000046,14.98999977,18.60000038,25.09000015,9.0,0.0,100.0,18.36000061,11.09000015,0.340000004,0.409999996,8.890000342999999,5.880000114,7.699999808999999,3.109999895,11.11999989,1.5499999519999998,33.74000168,15.10999966,17.12999916,5.0,0.800000012,0.0,0.180000007,0.0,43.70000076,12.71000004,39.65000153,43.09999847,5.369999886,49.04999924,40.88999939,2.269999981,4.809999943,0.25999999,6.349999905,31.43000031,26.56999969,100.0,22.87000084,29.77000046,58.36000061,26.20000076,5.260000229,11.06000042,93.37999725,93.37999725,11.76000023,15.76000023,6.610000134,26.64999962,12.64999962,29.61000061,76.5,387,18,2266,578,0,0,60,15,73,3859,2266,345,18,578,523,0,279,94,346,58,72,145,52,0,18,523,96,58,13,343,16,120,429,297,227,1302,583,31,193,3636,7,0,60,661,1589,462,0,2348,726,1962,25574,21023,31000,12188,21267,3405,9,1893,3843,1208,383,114,18,18,2258,600,574,335,200,1270,221,931,1012,1993,107,1992,977,774,43,91,200,26250.0,244,166,137,523,726,2071,109,1962,217,1745,2071,1049,235000,1934,1934,1501,454,608,255,3463,923,438,215,94.98243853487206,2010-01-01
12,25025000701,MA,Suffolk County,Census Tract 7.01,4446,3050,215,14,779,333,2,136,388,18,42,72,20,48,56,23,474,23,2359,65,2294,339,1955,172,251,71,3050,59,152,179,13,24,333,25,9,732,46,63,4,0,1,wbha,Global,68.60098965362123,4.835807467386415,17.521367521367527,7.489878542510121,3.0589293747188484,8.726945569050832,0.4048582995951417,0.9446693657219972,1.6194331983805668,0.4498425551057129,1.0796221322537112,1.2595591542959963,0.5173189383715701,2.755404832556168,97.24459516744385,3.868645973909132,5.645524066576698,1.5969410706252811,14.37049597286986,82.87409919457396,48.26810616284301,25,25,701,73.13999939,2.25,5.340000153,0.0,15.88000011,0.0,0.0,11.94999981,0.0,0.589999974,1.970000029,0.25999999,1.850000024,2.480000019,22.60000038,0.0,15.78999996,7.179999828,-999.0,-999.0,0.0,6.429999828,1.7899999619999998,0.0,2.170000076,3.599999905,9.109999657000001,2.940000057,15.15999985,0.589999974,32.81000137,6.789999962,20.17000008,4.289999962,0.0,0.0,0.0,0.0,37.63999939,8.869999886,21.07999992,73.01000214,9.529999733,76.29000092,59.54000092,3.970000029,9.020000458,0.310000002,0.8999999759999999,21.70999908,17.55999947,-999.0,6.409999847000001,41.77999878,47.93999863,36.97999954,11.14000034,13.23999977,98.70999908,83.59999847,2.599999905,3.700000048,1.070000052,16.77000046,7.090000152999999,6.409999847000001,92.43000031,146,0,2865,209,0,0,23,77,10,3917,2865,88,0,209,622,0,468,53,71,33,0,33,15,0,0,622,0,40,70,85,0,115,594,357,141,1285,266,0,168,3823,0,0,23,790,1439,339,0,2875,390,1994,46796,45172,52838,35655,32162,3815,12,2773,3879,842,146,61,0,0,2842,499,194,93,54,1506,126,606,2099,3065,292,1970,1503,1651,110,250,235,29205.0,35,25,230,622,390,2244,250,1994,264,1730,2244,1298,296500,2215,1876,1843,102,145,42,3823,641,271,25,90.47308319738987,2010-01-01
